month,community_ecosystem_unlock,team_advisors_unlock,investors_unlock,treasury_unlock,liquidity_unlock,binance_programs_unlock,marketing_kol_unlock,public_sale_unlock,community_ecosystem_cum,team_advisors_cum,investors_cum,treasury_cum,liquidity_cum,binance_programs_cum,marketing_kol_cum,public_sale_cum,total_unlock,total_circulating,pct_of_supply,mom_unlock_pct_of_prior_circ
0,16000000.00,0.00,0.00,2600000.00,80000000.00,0.00,10000000.00,40000000.00,16000000.00,0.00,0.00,2600000.00,80000000.00,0.00,10000000.00,40000000.00,148600000.00,148600000.00,14.8600,
1,6333333.33,0.00,0.00,3538888.89,0.00,0.00,1666666.67,0.00,22333333.33,0.00,0.00,6138888.89,80000000.00,0.00,11666666.67,40000000.00,11538888.89,160138888.89,16.0139,7.7651
2,6333333.33,0.00,0.00,3538888.89,0.00,0.00,1666666.67,0.00,28666666.67,0.00,0.00,9677777.78,80000000.00,0.00,13333333.33,40000000.00,11538888.89,171677777.78,17.1678,7.2056
3,6333333.33,0.00,0.00,3538888.89,0.00,0.00,1666666.67,0.00,35000000.00,0.00,0.00,13216666.67,80000000.00,0.00,15000000.00,40000000.00,11538888.89,183216666.67,18.3217,6.7212
4,6333333.33,0.00,0.00,3538888.89,0.00,2083333.33,1666666.67,0.00,41333333.33,0.00,0.00,16755555.56,80000000.00,2083333.33,16666666.67,40000000.00,13622222.22,196838888.89,19.6839,7.4350
5,6333333.33,0.00,0.00,3538888.89,0.00,2083333.33,1666666.67,0.00,47666666.67,0.00,0.00,20294444.44,80000000.00,4166666.67,18333333.33,40000000.00,13622222.22,210461111.11,21.0461,6.9205
6,6333333.33,0.00,0.00,3538888.89,0.00,2083333.33,1666666.67,0.00,54000000.00,0.00,0.00,23833333.33,80000000.00,6250000.00,20000000.00,40000000.00,13622222.22,224083333.33,22.4083,6.4726
7,6333333.33,0.00,0.00,3538888.89,0.00,2083333.33,1666666.67,0.00,60333333.33,0.00,0.00,27372222.22,80000000.00,8333333.33,21666666.67,40000000.00,13622222.22,237705555.56,23.7706,6.0791
8,6333333.33,0.00,0.00,3538888.89,0.00,2083333.33,1666666.67,0.00,66666666.67,0.00,0.00,30911111.11,80000000.00,10416666.67,23333333.33,40000000.00,13622222.22,251327777.78,25.1328,5.7307
9,6333333.33,0.00,0.00,3538888.89,0.00,2083333.33,1666666.67,0.00,73000000.00,0.00,0.00,34450000.00,80000000.00,12500000.00,25000000.00,40000000.00,13622222.22,264950000.00,26.4950,5.4201
10,6333333.33,0.00,6250000.00,3538888.89,0.00,2083333.33,1666666.67,0.00,79333333.33,0.00,6250000.00,37988888.89,80000000.00,14583333.33,26666666.67,40000000.00,19872222.22,284822222.22,28.4822,7.5004
11,6333333.33,0.00,6250000.00,3538888.89,0.00,2083333.33,1666666.67,0.00,85666666.67,0.00,12500000.00,41527777.78,80000000.00,16666666.67,28333333.33,40000000.00,19872222.22,304694444.44,30.4694,6.9771
12,6333333.33,0.00,6250000.00,3538888.89,0.00,2083333.33,1666666.67,0.00,92000000.00,0.00,18750000.00,45066666.67,80000000.00,18750000.00,30000000.00,40000000.00,19872222.22,324566666.67,32.4567,6.5220
13,6333333.33,5000000.00,6250000.00,3538888.89,0.00,2083333.33,1666666.67,0.00,98333333.33,5000000.00,25000000.00,48605555.56,80000000.00,20833333.33,31666666.67,40000000.00,24872222.22,349438888.89,34.9439,7.6632
14,6333333.33,5000000.00,6250000.00,3538888.89,0.00,2083333.33,1666666.67,0.00,104666666.67,10000000.00,31250000.00,52144444.44,80000000.00,22916666.67,33333333.33,40000000.00,24872222.22,374311111.11,37.4311,7.1178
15,6333333.33,5000000.00,6250000.00,3538888.89,0.00,2083333.33,1666666.67,0.00,111000000.00,15000000.00,37500000.00,55683333.33,80000000.00,25000000.00,35000000.00,40000000.00,24872222.22,399183333.33,39.9183,6.6448
